Date,Month,Year,Week,Source,Olive_Type,Condition,Olive_Size,Press_Method,Quantity_Olives_Tons,Oil_Quality_Score,Oil_Quantity_Tons,Waste_Fitoura_Tons,Waste_Margin_Tons,Processing_Time_Hours,Employees_Comptables,Employees_Registeurs,Employees_Ouvriers,Employees_Guards,Total_Employees,Global_Active_Power_kWh,Global_Reactive_Power_kVAr,Voltage_V,Global_Intensity_A,Total_Energy_Consumption_kWh,Water_Consumption_Liters
2021-01-08,1,2021,1,Nord,Zalmati,Rainfed,Small,Méthode en continu,41.59,83.5,14.25,17.14,10.2,13.4,1,2,4,1,8,1913.15,212.81,232.7,8221.63,2125.95,45923.0
2021-01-08,1,2021,1,Centre,Oueslati,Rainfed,Small,Traditionnel,29.09,77.6,6.85,14.43,7.8,19.3,1,1,5,1,8,823.07,245.19,241.6,3406.79,1068.26,19942.0
2021-01-08,1,2021,1,Centre,Chemlali,Rainfed,Small,Traditionnel,30.45,66.2,6.75,15.9,7.8,20.0,1,1,7,1,10,1062.46,308.05,240.6,4416.52,1370.51,27375.0
2021-01-09,1,2021,1,Sud,Chemlali,Rainfed,Medium,Traditionnel,17.72,62.4,3.04,10.42,4.25,11.8,1,1,2,1,5,586.86,166.69,241.2,2432.8,753.55,10232.0
2021-01-09,1,2021,1,Sud,Zalmati,Rainfed,Medium,Méthode en continu,13.09,61.6,4.36,6.44,2.29,5.0,1,2,1,1,5,570.99,90.22,250.8,2276.9,661.21,10417.0
2021-01-10,1,2021,1,Centre,Zalmati,Rainfed,Large,Traditionnel,48.77,76.8,10.47,29.53,8.77,34.6,1,1,10,1,13,1422.4,227.78,237.3,5995.08,1650.18,34413.0
2021-01-10,1,2021,1,Nord,Zarazi,Rainfed,Small,Super-presses,24.78,85.9,8.22,12.76,3.8,13.9,1,1,3,1,6,845.98,199.05,240.1,3524.08,1045.03,19590.0
2021-01-10,1,2021,1,Sud,Barouni,Rainfed,Large,Super-presses,10.51,74.9,3.22,4.78,2.52,5.4,1,1,1,1,4,417.71,85.13,241.0,1733.12,502.83,7890.0
2021-01-10,1,2021,1,Nord,Chemlali,Rainfed,Small,Super-presses,63.6,86.0,18.95,29.14,15.52,36.6,1,1,10,1,13,2521.57,729.22,237.2,10632.71,3250.8,57563.0
2021-01-10,1,2021,1,Sud,Gerboui,Rainfed,Medium,Méthode en continu,12.37,52.3,2.93,6.01,3.43,5.9,1,2,1,1,5,538.51,105.3,227.8,2364.44,643.82,13544.0
2021-01-11,1,2021,2,Sfax,Gerboui,Irrigated,Small,Traditionnel,53.49,92.8,13.85,24.85,14.79,38.6,1,1,12,1,15,1534.95,451.67,244.5,6279.03,1986.62,32248.0
2021-01-11,1,2021,2,Sud,Chemlali,Irrigated,Large,Méthode en continu,33.49,77.6,10.92,14.38,8.19,11.6,1,2,3,1,7,1746.59,498.29,230.2,7585.81,2244.88,30662.0
2021-01-11,1,2021,2,Centre,Zarazi,Rainfed,Small,Méthode en continu,28.96,63.9,8.38,14.2,6.38,9.9,1,2,2,1,6,1301.66,314.11,246.3,5284.81,1615.77,35466.0
2021-01-11,1,2021,2,Nord,Zalmati,Rainfed,Medium,Super-presses,59.76,82.7,17.75,31.0,11.0,32.2,1,1,9,1,12,2572.26,738.45,235.3,10929.65,3310.71,49504.0
2021-01-11,1,2021,2,Nord,Barouni,Rainfed,Medium,Super-presses,54.61,80.1,15.89,28.66,10.07,29.9,1,1,9,1,12,2526.7,296.65,241.4,10465.74,2823.35,39305.0
2021-01-12,1,2021,2,Nord,Barouni,Rainfed,Medium,Méthode en continu,85.88,89.7,28.75,44.24,12.9,28.6,1,2,9,1,13,4159.27,494.45,236.4,17591.09,4653.72,96391.0
2021-01-12,1,2021,2,Sfax,Barouni,Rainfed,Large,Méthode en continu,21.95,80.4,6.83,11.68,3.43,7.1,1,2,2,1,6,1088.89,260.35,231.4,4706.64,1349.24,26758.0
2021-01-12,1,2021,2,Centre,Chétoui,Irrigated,Medium,Traditionnel,50.12,89.9,12.54,27.89,9.7,36.2,1,1,12,1,15,1686.64,475.63,243.9,6915.48,2162.26,37947.0
2021-01-13,1,2021,2,Sud,Zalmati,Rainfed,Medium,Méthode en continu,9.74,61.9,2.51,5.53,1.7,2.1,1,2,1,1,5,554.46,110.15,244.7,2265.84,664.61,9347.0
2021-01-13,1,2021,2,Sfax,Oueslati,Rainfed,Large,Méthode en continu,45.06,88.5,15.16,18.48,11.42,16.0,1,2,4,1,8,1916.86,328.44,242.5,7904.27,2245.3,50463.0
2021-01-13,1,2021,2,Sud,Gerboui,Irrigated,Large,Super-presses,17.83,70.4,5.08,9.21,3.54,9.2,1,1,1,1,4,678.62,150.93,241.5,2809.87,829.55,13353.0
2021-01-14,1,2021,2,Centre,Barouni,Rainfed,Small,Traditionnel,34.61,64.2,6.97,21.82,5.81,24.7,1,1,7,1,10,904.0,123.37,234.6,3853.39,1027.37,22436.0
2021-01-14,1,2021,2,Centre,Oueslati,Rainfed,Large,Super-presses,31.93,83.0,8.93,15.31,7.69,14.8,1,1,5,1,8,1287.24,205.35,246.4,5224.54,1492.59,28762.0
2021-01-14,1,2021,2,Sud,Chemlali,Rainfed,Large,Méthode en continu,18.37,72.5,6.1,9.64,2.63,4.4,1,2,1,1,5,877.14,131.99,230.6,3804.32,1009.13,15954.0
2021-01-14,1,2021,2,Centre,Zarazi,Irrigated,Medium,Méthode en continu,40.04,68.1,12.1,17.65,10.3,12.3,1,2,4,1,8,1671.91,490.54,236.4,7071.8,2162.46,43529.0
2021-01-14,1,2021,2,Sfax,Barouni,Rainfed,Medium,Méthode en continu,24.36,75.4,7.15,12.3,4.91,9.1,1,2,2,1,6,1100.36,110.78,243.4,4520.04,1211.14,23424.0
2021-01-14,1,2021,2,Sfax,Gerboui,Rainfed,Large,Méthode en continu,38.57,80.8,11.49,17.5,9.57,14.4,1,2,3,1,7,1633.53,349.4,245.5,6653.42,1982.94,39468.0
2021-01-14,1,2021,2,Centre,Chemlali,Rainfed,Medium,Super-presses,33.57,60.0,8.78,18.98,5.81,19.7,1,1,5,1,8,1178.75,214.85,239.2,4926.99,1393.6,29002.0
2021-01-14,1,2021,2,Centre,Zalmati,Rainfed,Large,Méthode en continu,21.27,75.2,6.67,11.63,2.97,6.7,1,2,2,1,6,962.82,195.53,241.6,3984.44,1158.36,29114.0
2021-01-14,1,2021,2,Centre,Chétoui,Irrigated,Medium,Super-presses,34.15,84.2,10.86,18.45,4.84,18.7,1,1,5,1,8,1482.78,275.61,237.5,6241.96,1758.39,24688.0
2021-01-15,1,2021,2,Nord,Gerboui,Rainfed,Large,Méthode en continu,35.19,98.9,12.1,16.84,6.25,12.5,1,2,3,1,7,1761.13,225.03,244.6,7200.99,1986.16,39314.0
2021-01-15,1,2021,2,Sud,Barouni,Rainfed,Small,Méthode en continu,7.19,65.1,2.09,3.42,1.67,2.2,1,2,1,1,5,414.32,63.35,243.8,1699.28,477.67,5963.0
2021-01-15,1,2021,2,Centre,Chemlali,Irrigated,Medium,Traditionnel,59.94,84.4,15.01,28.04,16.89,41.0,1,1,12,1,15,1511.79,167.88,237.0,6379.6,1679.67,49953.0
2021-01-15,1,2021,2,Centre,Zarazi,Rainfed,Small,Traditionnel,7.52,60.8,1.25,4.85,1.42,6.6,1,1,2,1,5,222.7,50.28,244.7,910.24,272.98,4985.0
2021-01-16,1,2021,2,Sfax,Oueslati,Irrigated,Large,Traditionnel,23.01,100.0,6.5,12.49,4.02,14.2,1,1,5,1,8,558.55,164.15,243.0,2298.65,722.7,18291.0
2021-01-16,1,2021,2,Sud,Chétoui,Rainfed,Medium,Super-presses,19.18,67.7,5.7,9.38,4.1,11.5,1,1,1,1,4,681.49,136.43,244.1,2791.8,817.93,11538.0
2021-01-16,1,2021,2,Sud,Gerboui,Irrigated,Small,Super-presses,27.09,72.5,6.67,12.92,7.51,13.7,1,1,3,1,6,1273.62,331.33,236.6,5382.38,1604.95,20216.0
2021-01-16,1,2021,2,Sud,Oueslati,Rainfed,Small,Méthode en continu,1.67,82.4,0.53,0.83,0.31,0.6,1,2,1,1,5,99.26,14.29,242.2,409.88,113.55,1306.0
2021-01-17,1,2021,2,Centre,Gerboui,Rainfed,Large,Méthode en continu,29.25,78.7,9.55,14.7,5.0,9.9,1,2,2,1,6,1396.05,346.56,245.2,5693.2,1742.61,29258.0
2021-01-17,1,2021,2,Nord,Zalmati,Rainfed,Medium,Méthode en continu,22.78,87.8,7.89,10.44,4.45,6.6,1,2,2,1,6,1070.71,126.09,236.7,4524.26,1196.79,33025.0
2021-01-17,1,2021,2,Centre,Chétoui,Irrigated,Medium,Super-presses,23.36,91.4,6.99,11.94,4.42,13.1,1,1,3,1,6,811.66,240.16,247.0,3286.29,1051.82,16314.0
2021-01-17,1,2021,2,Centre,Barouni,Rainfed,Large,Traditionnel,40.54,80.6,9.59,19.61,11.35,28.0,1,1,10,1,13,1319.53,231.15,231.7,5695.65,1550.68,37983.0
2021-01-17,1,2021,2,Nord,Gerboui,Irrigated,Large,Méthode en continu,68.56,91.4,23.53,31.21,13.82,24.5,1,2,7,1,11,2761.21,321.18,234.6,11767.57,3082.39,92244.0
2021-01-17,1,2021,2,Sud,Chemlali,Irrigated,Medium,Super-presses,22.69,72.4,6.13,13.21,3.35,12.4,1,1,3,1,6,943.54,137.29,227.5,4147.95,1080.83,17143.0
2021-01-18,1,2021,3,Sfax,Chétoui,Irrigated,Medium,Super-presses,50.74,88.2,14.96,25.92,9.86,28.2,1,1,9,1,12,1684.1,338.92,245.1,6870.74,2023.02,36344.0
2021-01-18,1,2021,3,Nord,Chétoui,Rainfed,Small,Méthode en continu,36.8,94.4,13.07,15.32,8.4,12.4,1,2,3,1,7,1890.75,350.95,245.0,7718.18,2241.71,53067.0
2021-01-18,1,2021,3,Sfax,Zalmati,Irrigated,Small,Méthode en continu,45.09,80.2,14.67,21.21,9.2,15.2,1,2,4,1,8,2625.29,410.51,230.4,11395.34,3035.8,55296.0
2021-01-18,1,2021,3,Nord,Zalmati,Irrigated,Medium,Méthode en continu,59.44,100.0,21.44,29.19,8.81,20.3,1,2,6,1,10,2825.95,657.79,242.3,11663.89,3483.75,73571.0
2021-01-18,1,2021,3,Centre,Zarazi,Rainfed,Large,Super-presses,31.36,70.9,9.08,17.07,5.22,16.8,1,1,5,1,8,1220.08,347.89,244.6,4987.84,1567.97,24496.0
2021-01-19,1,2021,3,Sud,Zalmati,Irrigated,Small,Super-presses,10.88,67.8,2.99,6.24,1.65,6.3,1,1,1,1,4,500.37,125.55,243.8,2052.51,625.91,7476.0
2021-01-19,1,2021,3,Centre,Oueslati,Rainfed,Medium,Traditionnel,41.91,78.1,9.88,23.97,8.06,29.0,1,1,10,1,13,1213.54,299.22,239.4,5068.75,1512.76,32750.0
2021-01-19,1,2021,3,Nord,Chemlali,Rainfed,Large,Traditionnel,51.01,93.7,14.18,25.77,11.05,34.0,1,1,12,1,15,1647.79,169.69,251.4,6554.06,1817.49,39298.0
2021-01-19,1,2021,3,Sfax,Zalmati,Irrigated,Small,Traditionnel,29.54,88.7,7.61,15.78,6.15,20.3,1,1,5,1,8,1013.43,297.97,240.6,4211.29,1311.4,25184.0
2021-01-19,1,2021,3,Sfax,Barouni,Irrigated,Medium,Méthode en continu,13.84,89.4,4.51,6.36,2.96,2.8,1,2,1,1,5,715.96,109.67,238.1,3007.39,825.62,17417.0
2021-01-19,1,2021,3,Sud,Gerboui,Rainfed,Small,Traditionnel,16.23,59.9,3.33,9.8,3.1,11.2,1,1,2,1,5,516.28,60.77,242.0,2133.0,577.05,9821.0
2021-01-20,1,2021,3,Sfax,Gerboui,Rainfed,Large,Méthode en continu,46.21,83.0,15.38,18.54,12.29,14.2,1,2,4,1,8,2226.45,469.82,227.3,9796.38,2696.27,55660.0
2021-01-20,1,2021,3,Nord,Barouni,Rainfed,Medium,Super-presses,28.9,85.7,9.89,12.5,6.51,15.9,1,1,3,1,6,1056.69,260.92,238.9,4423.88,1317.61,20586.0
2021-01-20,1,2021,3,Centre,Barouni,Rainfed,Large,Traditionnel,27.01,75.0,6.67,15.08,5.26,19.3,1,1,5,1,8,913.45,208.87,232.4,3930.29,1122.32,19704.0
2021-01-20,1,2021,3,Nord,Zarazi,Rainfed,Large,Méthode en continu,40.11,89.9,13.45,18.17,8.49,14.5,1,2,4,1,8,2383.2,506.28,235.1,10137.44,2889.48,57487.0
2021-01-20,1,2021,3,Sud,Zalmati,Rainfed,Small,Super-presses,18.85,65.8,5.48,8.09,5.28,10.8,1,1,1,1,4,849.77,109.24,229.8,3697.93,959.01,10387.0
2021-01-20,1,2021,3,Centre,Gerboui,Rainfed,Small,Méthode en continu,45.04,69.9,13.41,24.57,7.05,16.4,1,2,4,1,8,2408.68,262.08,242.0,9954.04,2670.76,64162.0
2021-01-20,1,2021,3,Nord,Zarazi,Rainfed,Small,Méthode en continu,37.85,88.0,13.12,16.96,7.76,13.8,1,2,3,1,7,1946.83,573.1,239.1,8143.5,2519.93,53247.0
2021-01-20,1,2021,3,Centre,Chemlali,Rainfed,Medium,Super-presses,31.22,69.4,8.62,14.83,7.77,16.8,1,1,5,1,8,1089.82,139.01,234.3,4651.69,1228.83,28542.0
2021-01-20,1,2021,3,Nord,Barouni,Irrigated,Large,Méthode en continu,85.23,100.0,30.53,39.47,15.22,30.9,1,2,9,1,13,4509.39,1088.28,231.4,19490.48,5597.67,127006.0
2021-01-20,1,2021,3,Nord,Chemlali,Rainfed,Medium,Traditionnel,63.1,95.2,15.26,31.23,16.61,45.5,1,1,15,1,18,1740.92,438.16,244.8,7111.46,2179.08,48990.0
2021-01-20,1,2021,3,Nord,Chétoui,Rainfed,Small,Méthode en continu,31.51,90.8,10.56,14.16,6.79,13.0,1,2,3,1,7,1768.22,200.95,241.8,7312.48,1969.18,40234.0
2021-01-21,1,2021,3,Nord,Zalmati,Rainfed,Medium,Méthode en continu,41.69,83.9,14.7,18.02,8.96,14.9,1,2,4,1,8,1760.16,274.08,236.7,7437.05,2034.24,61897.0
2021-01-22,1,2021,3,Sfax,Barouni,Irrigated,Small,Méthode en continu,49.04,95.1,16.97,19.62,12.45,17.0,1,2,4,1,8,2154.85,438.96,237.9,9059.46,2593.81,46256.0
2021-01-22,1,2021,3,Centre,Oueslati,Rainfed,Large,Traditionnel,23.57,83.9,5.67,11.49,6.41,15.8,1,1,5,1,8,623.41,122.31,235.4,2648.2,745.72,18964.0
2021-01-22,1,2021,3,Centre,Chemlali,Irrigated,Large,Traditionnel,37.69,88.6,10.04,22.1,5.55,26.3,1,1,7,1,10,1263.91,132.67,233.3,5416.53,1396.57,35745.0
2021-01-22,1,2021,3,Centre,Chemlali,Irrigated,Large,Méthode en continu,52.53,84.3,18.11,21.79,12.63,17.4,1,2,6,1,10,2584.89,708.92,236.6,10926.35,3293.81,63608.0
2021-01-23,1,2021,3,Centre,Chétoui,Rainfed,Large,Méthode en continu,24.26,81.6,7.21,11.16,5.89,9.9,1,2,2,1,6,1452.56,364.33,236.8,6135.06,1816.89,25522.0
2021-01-24,1,2021,3,Sfax,Gerboui,Irrigated,Small,Traditionnel,67.33,80.3,15.79,40.08,11.47,47.4,1,1,15,1,18,1717.67,225.02,238.1,7212.83,1942.69,39543.0
2021-01-24,1,2021,3,Nord,Zarazi,Rainfed,Large,Super-presses,23.44,92.6,7.42,11.6,4.43,14.7,1,1,3,1,6,1084.26,323.07,241.1,4496.5,1407.33,20681.0
2021-01-24,1,2021,3,Sud,Gerboui,Irrigated,Medium,Traditionnel,25.44,74.0,5.28,14.2,5.95,18.3,1,1,5,1,8,773.07,167.13,241.0,3207.29,940.19,13609.0
2021-01-24,1,2021,3,Sfax,Oueslati,Rainfed,Large,Traditionnel,41.46,87.1,9.92,22.76,8.78,26.8,1,1,10,1,13,1449.3,217.43,230.7,6282.63,1666.73,29449.0
2021-01-24,1,2021,3,Sud,Zalmati,Irrigated,Medium,Traditionnel,25.95,77.4,6.24,15.05,4.66,17.2,1,1,5,1,8,810.43,242.99,250.3,3238.03,1053.43,13756.0
2021-01-24,1,2021,3,Centre,Oueslati,Irrigated,Medium,Méthode en continu,39.48,91.3,13.16,19.48,6.84,13.8,1,2,3,1,7,1928.81,397.48,237.5,8122.59,2326.29,48699.0
2021-01-25,1,2021,4,Sfax,Chétoui,Irrigated,Medium,Super-presses,27.08,99.3,8.5,14.51,4.07,15.0,1,1,3,1,6,1196.82,344.93,237.7,5035.53,1541.74,18259.0
2021-01-25,1,2021,4,Nord,Zalmati,Rainfed,Medium,Super-presses,34.02,86.7,9.72,17.15,7.16,18.5,1,1,5,1,8,1306.4,193.31,240.8,5424.84,1499.71,30361.0
2021-01-25,1,2021,4,Sud,Zalmati,Rainfed,Large,Super-presses,14.6,77.8,4.5,7.92,2.18,6.9,1,1,1,1,4,533.17,96.27,237.9,2240.74,629.44,9884.0
2021-01-25,1,2021,4,Sud,Gerboui,Irrigated,Large,Super-presses,16.39,79.6,4.82,8.89,2.67,7.0,1,1,1,1,4,700.66,203.22,236.7,2959.98,903.88,8785.0
2021-01-26,1,2021,4,Sfax,Zarazi,Rainfed,Large,Traditionnel,26.42,76.4,6.74,13.81,5.86,17.9,1,1,5,1,8,674.51,167.14,232.6,2900.47,841.65,18072.0
2021-01-26,1,2021,4,Centre,Oueslati,Rainfed,Large,Méthode en continu,52.06,85.8,17.4,26.6,8.05,19.0,1,2,6,1,10,2419.47,714.76,241.0,10038.82,3134.24,66482.0
2021-01-26,1,2021,4,Sfax,Zalmati,Irrigated,Small,Méthode en continu,61.7,82.2,19.16,29.37,13.18,22.0,1,2,7,1,11,3541.33,503.57,244.8,14464.98,4044.9,78242.0
2021-01-26,1,2021,4,Nord,Barouni,Rainfed,Small,Super-presses,75.88,91.6,23.8,35.22,16.87,43.5,1,1,12,1,15,2457.02,690.47,240.4,10219.5,3147.49,68299.0
2021-01-26,1,2021,4,Sud,Zalmati,Rainfed,Medium,Traditionnel,17.09,60.0,3.32,8.44,5.32,13.1,1,1,2,1,5,606.42,120.93,238.5,2542.29,727.35,8949.0
2021-01-26,1,2021,4,Nord,Oueslati,Rainfed,Small,Traditionnel,69.37,91.2,17.91,32.98,18.48,49.4,1,1,15,1,18,1870.72,559.75,238.1,7856.96,2430.48,53970.0
2021-01-26,1,2021,4,Nord,Chemlali,Rainfed,Small,Méthode en continu,54.13,90.6,18.37,25.82,9.95,19.3,1,2,6,1,10,2998.85,700.19,243.3,12326.48,3699.04,59794.0
2021-01-26,1,2021,4,Sfax,Chemlali,Rainfed,Medium,Méthode en continu,24.72,71.6,6.65,13.1,4.97,8.4,1,2,2,1,6,1115.7,283.91,235.6,4734.58,1399.61,28055.0
2021-01-27,1,2021,4,Centre,Chemlali,Rainfed,Large,Traditionnel,32.4,76.9,7.02,19.21,6.18,20.5,1,1,7,1,10,1028.05,192.77,240.6,4272.89,1220.82,26743.0
2021-01-27,1,2021,4,Nord,Barouni,Irrigated,Medium,Traditionnel,65.6,88.5,16.9,32.51,16.19,45.1,1,1,15,1,18,2350.31,638.71,238.0,9874.83,2989.03,61695.0
2021-01-27,1,2021,4,Centre,Barouni,Rainfed,Small,Méthode en continu,26.4,69.5,7.95,14.54,3.91,8.4,1,2,2,1,6,1390.16,261.45,234.3,5934.41,1651.61,32424.0
2021-01-27,1,2021,4,Centre,Barouni,Rainfed,Large,Méthode en continu,28.83,73.5,9.36,14.91,4.55,7.0,1,2,2,1,6,1355.47,319.4,244.9,5535.71,1674.88,35973.0
2021-01-29,1,2021,4,Sfax,Barouni,Irrigated,Large,Méthode en continu,2.94,88.2,1.16,1.41,0.38,0.5,1,2,1,1,5,149.98,43.59,242.9,617.55,193.56,3575.0
2021-01-29,1,2021,4,Nord,Zarazi,Rainfed,Large,Traditionnel,45.21,89.6,10.94,21.34,12.93,32.6,1,1,10,1,13,1114.66,315.94,234.7,4749.94,1430.6,42676.0
2021-01-29,1,2021,4,Nord,Zalmati,Rainfed,Medium,Traditionnel,49.58,74.2,11.15,30.65,7.78,34.9,1,1,10,1,13,1488.17,389.03,241.0,6175.92,1877.21,39565.0
2021-01-29,1,2021,4,Sud,Gerboui,Rainfed,Large,Traditionnel,17.68,68.8,3.99,10.12,3.57,11.5,1,1,2,1,5,482.92,103.33,244.0,1979.39,586.25,11099.0
2021-01-29,1,2021,4,Nord,Chétoui,Rainfed,Large,Traditionnel,42.72,94.2,10.52,19.69,12.5,30.1,1,1,10,1,13,1389.55,271.75,241.8,5746.03,1661.3,42969.0
2021-01-29,1,2021,4,Sud,Oueslati,Rainfed,Medium,Super-presses,16.32,72.9,5.34,6.83,4.15,9.2,1,1,1,1,4,605.05,75.79,246.7,2452.19,680.84,10380.0
2021-01-29,1,2021,4,Sfax,Zarazi,Rainfed,Large,Traditionnel,25.33,70.9,5.22,13.35,6.76,18.9,1,1,5,1,8,744.39,167.67,238.4,3122.64,912.06,20863.0
2021-01-31,1,2021,4,Nord,Zalmati,Rainfed,Large,Méthode en continu,55.78,76.5,17.77,30.24,7.76,18.1,1,2,6,1,10,2312.96,362.63,236.0,9801.35,2675.6,70052.0
2021-01-31,1,2021,4,Sfax,Zarazi,Rainfed,Large,Méthode en continu,10.52,85.4,4.01,4.72,1.79,4.6,1,2,1,1,5,526.15,60.07,237.2,2218.19,586.22,10508.0
2021-01-31,1,2021,4,Sfax,Zarazi,Irrigated,Large,Traditionnel,39.84,92.8,10.67,23.12,6.06,27.0,1,1,7,1,10,1119.22,335.41,238.9,4685.35,1454.63,30132.0
2021-01-31,1,2021,4,Centre,Zarazi,Irrigated,Large,Super-presses,52.58,89.1,16.94,24.46,11.18,27.8,1,1,9,1,12,2392.79,513.3,236.2,10129.85,2906.09,46660.0
