Date,Month,Year,Week,Source,Olive_Type,Condition,Olive_Size,Press_Method,Quantity_Olives_Tons,Oil_Quality_Score,Oil_Quantity_Tons,Waste_Fitoura_Tons,Waste_Margin_Tons,Processing_Time_Hours,Employees_Comptables,Employees_Registeurs,Employees_Ouvriers,Employees_Guards,Total_Employees,Global_Active_Power_kWh,Global_Reactive_Power_kVAr,Voltage_V,Global_Intensity_A,Total_Energy_Consumption_kWh,Water_Consumption_Liters,Water_Consumption_m3,Electricity_Price_TND_per_kWh,Water_Price_TND_per_m3,Electricity_Cost_TND,Water_Cost_TND,Total_Utility_Cost_TND,Hourly_Wage_Ouvriers_TND,Hourly_Wage_Comptables_TND,Hourly_Wage_Registeurs_TND,Hourly_Wage_Guards_TND,Ouvriers_Cost_TND,Comptables_Cost_TND,Registeurs_Cost_TND,Guards_Cost_TND,Total_Labor_Cost_TND,Total_Operational_Cost_TND
2021-01-03,1,2021,53,Nord,Zalmati,Rainfed,Medium,Méthode en continu,41.62,82.7,13.21,20.69,7.72,13.2,1,2,4,1,8,1988.24,358.96,235.4,8444.56,1988.24,49801.0,49.801,0.352,0.2,699.859,9.96,709.82,2.5,6.0,3.5,3.0,131.699,79.019,92.189,39.51,342.418,1052.237
2021-01-03,1,2021,53,Centre,Zalmati,Rainfed,Large,Super-presses,25.66,77.3,7.65,11.73,6.28,13.6,1,1,3,1,6,885.19,218.2,242.7,3646.91,885.19,23526.0,23.526,0.352,0.2,311.585,4.705,316.291,2.5,6.0,3.5,3.0,101.989,81.591,47.595,40.796,271.971,588.261
2021-01-03,1,2021,53,Sfax,Oueslati,Irrigated,Medium,Méthode en continu,37.45,100.0,14.03,16.31,7.11,13.4,1,2,3,1,7,1536.28,431.3,254.3,6041.02,1536.28,32580.0,32.58,0.352,0.2,540.772,6.516,547.288,2.5,6.0,3.5,3.0,100.327,80.262,93.639,40.131,314.359,861.647
2021-01-03,1,2021,53,Sud,Zalmati,Irrigated,Large,Méthode en continu,23.16,70.0,6.4,12.06,4.71,8.3,1,2,2,1,6,1095.85,291.32,244.5,4482.48,1095.85,21341.0,21.341,0.352,0.2,385.74,4.268,390.008,2.5,6.0,3.5,3.0,41.312,49.574,57.836,24.787,173.509,563.517
2021-01-04,1,2021,1,Sfax,Zalmati,Rainfed,Medium,Méthode en continu,49.48,82.1,15.86,21.74,11.88,17.3,1,2,4,1,8,2466.26,399.65,240.1,10272.33,2466.26,49654.0,49.654,0.352,0.2,868.122,9.931,878.053,2.5,6.0,3.5,3.0,173.465,104.079,121.426,52.04,451.009,1329.062
2021-01-04,1,2021,1,Nord,Zalmati,Rainfed,Small,Super-presses,66.09,85.4,20.43,34.81,10.85,35.5,1,1,10,1,13,2338.67,655.6,237.6,9840.84,2338.67,60604.0,60.604,0.352,0.2,823.211,12.121,835.331,2.5,6.0,3.5,3.0,887.052,212.892,124.187,106.446,1330.578,2165.909
2021-01-04,1,2021,1,Sud,Chemlali,Irrigated,Medium,Super-presses,23.03,61.1,5.3,13.8,3.92,15.4,1,1,3,1,6,941.66,120.03,247.8,3800.67,941.66,12060.0,12.06,0.352,0.2,331.466,2.412,333.878,2.5,6.0,3.5,3.0,115.664,92.531,53.977,46.266,308.437,642.315
2021-01-05,1,2021,1,Nord,Zalmati,Irrigated,Small,Méthode en continu,71.43,100.0,26.06,31.27,14.1,24.9,1,2,8,1,12,3647.82,550.73,243.9,14956.27,3647.82,103436.0,103.436,0.352,0.2,1284.031,20.687,1304.719,2.5,6.0,3.5,3.0,497.935,149.381,174.277,74.69,896.284,2201.002
2021-01-05,1,2021,1,Sud,Barouni,Irrigated,Medium,Méthode en continu,12.38,63.6,4.27,5.94,2.17,4.5,1,2,1,1,5,637.15,146.3,248.0,2569.39,637.15,9868.0,9.868,0.352,0.2,224.276,1.974,226.25,2.5,6.0,3.5,3.0,11.266,27.037,31.543,13.519,83.365,309.614
2021-01-06,1,2021,1,Sud,Oueslati,Rainfed,Large,Méthode en continu,16.31,64.2,5.16,8.62,2.53,4.8,1,2,1,1,5,861.16,93.46,237.7,3622.57,861.16,14903.0,14.903,0.352,0.2,303.13,2.981,306.11,2.5,6.0,3.5,3.0,12.04,28.895,33.711,14.448,89.093,395.204
2021-01-06,1,2021,1,Sud,Chétoui,Rainfed,Large,Méthode en continu,10.49,72.6,2.6,4.77,3.12,3.4,1,2,1,1,5,528.95,124.83,239.6,2207.67,528.95,11057.0,11.057,0.352,0.2,186.191,2.211,188.402,2.5,6.0,3.5,3.0,8.387,20.129,23.484,10.065,62.066,250.468
2021-01-06,1,2021,1,Sfax,Chétoui,Rainfed,Large,Super-presses,32.97,91.4,9.82,15.01,8.13,17.4,1,1,5,1,8,1472.72,297.63,245.4,6001.91,1472.72,21816.0,21.816,0.352,0.2,518.396,4.363,522.759,2.5,6.0,3.5,3.0,217.155,104.235,60.803,52.117,434.31,957.07
2021-01-06,1,2021,1,Sud,Oueslati,Rainfed,Small,Méthode en continu,14.77,68.1,4.36,7.07,3.34,5.2,1,2,1,1,5,602.86,139.05,246.2,2448.53,602.86,14441.0,14.441,0.352,0.2,212.206,2.888,215.095,2.5,6.0,3.5,3.0,12.968,31.122,36.309,15.561,95.96,311.055
2021-01-06,1,2021,1,Sud,Gerboui,Rainfed,Medium,Méthode en continu,3.88,68.5,1.09,1.75,1.03,2.4,1,2,1,1,5,170.09,44.29,230.8,737.13,170.09,4100.0,4.1,0.352,0.2,59.873,0.82,60.693,2.5,6.0,3.5,3.0,6.112,14.67,17.115,7.335,45.231,105.924
2021-01-06,1,2021,1,Nord,Zalmati,Irrigated,Large,Traditionnel,68.49,98.6,17.86,31.27,19.36,48.9,1,1,15,1,18,2223.03,382.42,241.3,9213.18,2223.03,69865.0,69.865,0.352,0.2,782.506,13.973,796.479,2.5,6.0,3.5,3.0,1832.141,293.143,171.0,146.571,2442.855,3239.334
2021-01-07,1,2021,1,Sfax,Oueslati,Rainfed,Small,Méthode en continu,22.47,89.7,7.35,9.85,5.27,8.1,1,2,2,1,6,1252.72,341.91,240.8,5202.81,1252.72,20958.0,20.958,0.352,0.2,440.956,4.192,445.148,2.5,6.0,3.5,3.0,40.684,48.821,56.958,24.41,170.873,616.021
2021-01-07,1,2021,1,Sfax,Zalmati,Rainfed,Medium,Super-presses,33.08,69.6,9.08,18.81,5.18,19.1,1,1,5,1,8,1247.41,298.17,246.7,5056.15,1247.41,25198.0,25.198,0.352,0.2,439.09,5.04,444.129,2.5,6.0,3.5,3.0,238.852,114.649,66.879,57.324,477.704,921.833
2021-01-08,1,2021,1,Nord,Zalmati,Rainfed,Small,Méthode en continu,41.59,83.5,14.25,17.14,10.2,13.4,1,2,4,1,8,1913.15,212.81,232.7,8221.63,1913.15,45923.0,45.923,0.352,0.2,673.427,9.185,682.612,2.5,6.0,3.5,3.0,133.645,80.187,93.551,40.093,347.476,1030.088
2021-01-08,1,2021,1,Centre,Oueslati,Rainfed,Small,Traditionnel,29.09,77.6,6.85,14.43,7.8,19.3,1,1,5,1,8,823.07,245.19,241.6,3406.79,823.07,19942.0,19.942,0.352,0.2,289.719,3.988,293.708,2.5,6.0,3.5,3.0,241.245,115.798,67.549,57.899,482.49,776.198
2021-01-08,1,2021,1,Centre,Chemlali,Rainfed,Small,Traditionnel,30.45,66.2,6.75,15.9,7.8,20.0,1,1,7,1,10,1062.46,308.05,240.6,4416.52,1062.46,27375.0,27.375,0.352,0.2,373.987,5.475,379.462,2.5,6.0,3.5,3.0,350.663,120.227,70.133,60.114,601.137,980.599
2021-01-09,1,2021,1,Sud,Chemlali,Rainfed,Medium,Traditionnel,17.72,62.4,3.04,10.42,4.25,11.8,1,1,2,1,5,586.86,166.69,241.2,2432.8,586.86,10232.0,10.232,0.352,0.2,206.575,2.046,208.621,2.5,6.0,3.5,3.0,58.961,70.754,41.273,35.377,206.365,414.986
2021-01-09,1,2021,1,Sud,Zalmati,Rainfed,Medium,Méthode en continu,13.09,61.6,4.36,6.44,2.29,5.0,1,2,1,1,5,570.99,90.22,250.8,2276.9,570.99,10417.0,10.417,0.352,0.2,200.99,2.083,203.073,2.5,6.0,3.5,3.0,12.432,29.838,34.811,14.919,92.0,295.074
2021-01-10,1,2021,1,Centre,Zalmati,Rainfed,Large,Traditionnel,48.77,76.8,10.47,29.53,8.77,34.6,1,1,10,1,13,1422.4,227.78,237.3,5995.08,1422.4,34413.0,34.413,0.352,0.2,500.685,6.883,507.567,2.5,6.0,3.5,3.0,864.931,207.583,121.09,103.792,1297.396,1804.964
2021-01-10,1,2021,1,Nord,Zarazi,Rainfed,Small,Super-presses,24.78,85.9,8.22,12.76,3.8,13.9,1,1,3,1,6,845.98,199.05,240.1,3524.08,845.98,19590.0,19.59,0.352,0.2,297.785,3.918,301.703,2.5,6.0,3.5,3.0,104.531,83.625,48.781,41.813,278.751,580.453
2021-01-10,1,2021,1,Sud,Barouni,Rainfed,Large,Super-presses,10.51,74.9,3.22,4.78,2.52,5.4,1,1,1,1,4,417.71,85.13,241.0,1733.12,417.71,7890.0,7.89,0.352,0.2,147.032,1.578,148.61,2.5,6.0,3.5,3.0,13.392,32.141,18.749,16.071,80.354,228.964
2021-01-10,1,2021,1,Nord,Chemlali,Rainfed,Small,Super-presses,63.6,86.0,18.95,29.14,15.52,36.6,1,1,10,1,13,2521.57,729.22,237.2,10632.71,2521.57,57563.0,57.563,0.352,0.2,887.593,11.513,899.106,2.5,6.0,3.5,3.0,914.84,219.562,128.078,109.781,1372.26,2271.366
2021-01-10,1,2021,1,Sud,Gerboui,Rainfed,Medium,Méthode en continu,12.37,52.3,2.93,6.01,3.43,5.9,1,2,1,1,5,538.51,105.3,227.8,2364.44,538.51,13544.0,13.544,0.352,0.2,189.556,2.709,192.265,2.5,6.0,3.5,3.0,14.722,35.333,41.222,17.666,108.943,301.208
2021-01-11,1,2021,2,Sfax,Gerboui,Irrigated,Small,Traditionnel,53.49,92.8,13.85,24.85,14.79,38.6,1,1,12,1,15,1534.95,451.67,244.5,6279.03,1534.95,32248.0,32.248,0.352,0.2,540.303,6.45,546.752,2.5,6.0,3.5,3.0,1156.514,231.303,134.927,115.651,1638.394,2185.147
2021-01-11,1,2021,2,Sud,Chemlali,Irrigated,Large,Méthode en continu,33.49,77.6,10.92,14.38,8.19,11.6,1,2,3,1,7,1746.59,498.29,230.2,7585.81,1746.59,30662.0,30.662,0.352,0.2,614.8,6.132,620.933,2.5,6.0,3.5,3.0,86.92,69.536,81.125,34.768,272.35,893.282
2021-01-11,1,2021,2,Centre,Zarazi,Rainfed,Small,Méthode en continu,28.96,63.9,8.38,14.2,6.38,9.9,1,2,2,1,6,1301.66,314.11,246.3,5284.81,1301.66,35466.0,35.466,0.352,0.2,458.184,7.093,465.277,2.5,6.0,3.5,3.0,49.307,59.169,69.03,29.584,207.091,672.368
2021-01-11,1,2021,2,Nord,Zalmati,Rainfed,Medium,Super-presses,59.76,82.7,17.75,31.0,11.0,32.2,1,1,9,1,12,2572.26,738.45,235.3,10929.65,2572.26,49504.0,49.504,0.352,0.2,905.434,9.901,915.335,2.5,6.0,3.5,3.0,724.098,193.093,112.637,96.546,1126.374,2041.71
2021-01-11,1,2021,2,Nord,Barouni,Rainfed,Medium,Super-presses,54.61,80.1,15.89,28.66,10.07,29.9,1,1,9,1,12,2526.7,296.65,241.4,10465.74,2526.7,39305.0,39.305,0.352,0.2,889.398,7.861,897.259,2.5,6.0,3.5,3.0,671.96,179.189,104.527,89.595,1045.272,1942.531
2021-01-12,1,2021,2,Nord,Barouni,Rainfed,Medium,Méthode en continu,85.88,89.7,28.75,44.24,12.9,28.6,1,2,9,1,13,4159.27,494.45,236.4,17591.09,4159.27,96391.0,96.391,0.352,0.2,1464.062,19.278,1483.34,2.5,6.0,3.5,3.0,643.521,171.606,200.207,85.803,1101.137,2584.477
2021-01-12,1,2021,2,Sfax,Barouni,Rainfed,Large,Méthode en continu,21.95,80.4,6.83,11.68,3.43,7.1,1,2,2,1,6,1088.89,260.35,231.4,4706.64,1088.89,26758.0,26.758,0.352,0.2,383.289,5.352,388.641,2.5,6.0,3.5,3.0,35.257,42.308,49.36,21.154,148.079,536.72
2021-01-12,1,2021,2,Centre,Chétoui,Irrigated,Medium,Traditionnel,50.12,89.9,12.54,27.89,9.7,36.2,1,1,12,1,15,1686.64,475.63,243.9,6915.48,1686.64,37947.0,37.947,0.352,0.2,593.696,7.589,601.285,2.5,6.0,3.5,3.0,1085.314,217.063,126.62,108.531,1537.528,2138.813
2021-01-13,1,2021,2,Sud,Zalmati,Rainfed,Medium,Méthode en continu,9.74,61.9,2.51,5.53,1.7,2.1,1,2,1,1,5,554.46,110.15,244.7,2265.84,554.46,9347.0,9.347,0.352,0.2,195.171,1.869,197.041,2.5,6.0,3.5,3.0,5.196,12.471,14.549,6.235,38.451,235.492
2021-01-13,1,2021,2,Sfax,Oueslati,Rainfed,Large,Méthode en continu,45.06,88.5,15.16,18.48,11.42,16.0,1,2,4,1,8,1916.86,328.44,242.5,7904.27,1916.86,50463.0,50.463,0.352,0.2,674.733,10.093,684.826,2.5,6.0,3.5,3.0,159.947,95.968,111.963,47.984,415.862,1100.688
2021-01-13,1,2021,2,Sud,Gerboui,Irrigated,Large,Super-presses,17.83,70.4,5.08,9.21,3.54,9.2,1,1,1,1,4,678.62,150.93,241.5,2809.87,678.62,13353.0,13.353,0.352,0.2,238.874,2.671,241.545,2.5,6.0,3.5,3.0,23.049,55.318,32.269,27.659,138.295,379.84
2021-01-14,1,2021,2,Centre,Barouni,Rainfed,Small,Traditionnel,34.61,64.2,6.97,21.82,5.81,24.7,1,1,7,1,10,904.0,123.37,234.6,3853.39,904.0,22436.0,22.436,0.352,0.2,318.209,4.487,322.696,2.5,6.0,3.5,3.0,431.913,148.084,86.383,74.042,740.422,1063.118
2021-01-14,1,2021,2,Centre,Oueslati,Rainfed,Large,Super-presses,31.93,83.0,8.93,15.31,7.69,14.8,1,1,5,1,8,1287.24,205.35,246.4,5224.54,1287.24,28762.0,28.762,0.352,0.2,453.108,5.752,458.861,2.5,6.0,3.5,3.0,185.407,88.995,51.914,44.498,370.815,829.675
2021-01-14,1,2021,2,Sud,Chemlali,Rainfed,Large,Méthode en continu,18.37,72.5,6.1,9.64,2.63,4.4,1,2,1,1,5,877.14,131.99,230.6,3804.32,877.14,15954.0,15.954,0.352,0.2,308.753,3.191,311.943,2.5,6.0,3.5,3.0,10.986,26.367,30.762,13.184,81.299,393.242
2021-01-14,1,2021,2,Centre,Zarazi,Irrigated,Medium,Méthode en continu,40.04,68.1,12.1,17.65,10.3,12.3,1,2,4,1,8,1671.91,490.54,236.4,7071.8,1671.91,43529.0,43.529,0.352,0.2,588.514,8.706,597.219,2.5,6.0,3.5,3.0,123.182,73.909,86.228,36.955,320.274,917.493
2021-01-14,1,2021,2,Sfax,Barouni,Rainfed,Medium,Méthode en continu,24.36,75.4,7.15,12.3,4.91,9.1,1,2,2,1,6,1100.36,110.78,243.4,4520.04,1100.36,23424.0,23.424,0.352,0.2,387.328,4.685,392.013,2.5,6.0,3.5,3.0,45.638,54.766,63.894,27.383,191.682,583.695
2021-01-14,1,2021,2,Sfax,Gerboui,Rainfed,Large,Méthode en continu,38.57,80.8,11.49,17.5,9.57,14.4,1,2,3,1,7,1633.53,349.4,245.5,6653.42,1633.53,39468.0,39.468,0.352,0.2,575.004,7.894,582.898,2.5,6.0,3.5,3.0,107.72,86.176,100.539,43.088,337.523,920.42
2021-01-14,1,2021,2,Centre,Chemlali,Rainfed,Medium,Super-presses,33.57,60.0,8.78,18.98,5.81,19.7,1,1,5,1,8,1178.75,214.85,239.2,4926.99,1178.75,29002.0,29.002,0.352,0.2,414.921,5.8,420.721,2.5,6.0,3.5,3.0,245.945,118.053,68.865,59.027,491.889,912.611
2021-01-14,1,2021,2,Centre,Zalmati,Rainfed,Large,Méthode en continu,21.27,75.2,6.67,11.63,2.97,6.7,1,2,2,1,6,962.82,195.53,241.6,3984.44,962.82,29114.0,29.114,0.352,0.2,338.913,5.823,344.736,2.5,6.0,3.5,3.0,33.413,40.095,46.778,20.048,140.334,485.07
2021-01-14,1,2021,2,Centre,Chétoui,Irrigated,Medium,Super-presses,34.15,84.2,10.86,18.45,4.84,18.7,1,1,5,1,8,1482.78,275.61,237.5,6241.96,1482.78,24688.0,24.688,0.352,0.2,521.937,4.938,526.874,2.5,6.0,3.5,3.0,233.482,112.071,65.375,56.036,466.963,993.838
2021-01-15,1,2021,2,Nord,Gerboui,Rainfed,Large,Méthode en continu,35.19,98.9,12.1,16.84,6.25,12.5,1,2,3,1,7,1761.13,225.03,244.6,7200.99,1761.13,39314.0,39.314,0.352,0.2,619.918,7.863,627.781,2.5,6.0,3.5,3.0,94.123,75.298,87.848,37.649,294.917,922.698
2021-01-15,1,2021,2,Sud,Barouni,Rainfed,Small,Méthode en continu,7.19,65.1,2.09,3.42,1.67,2.2,1,2,1,1,5,414.32,63.35,243.8,1699.28,414.32,5963.0,5.963,0.352,0.2,145.841,1.193,147.034,2.5,6.0,3.5,3.0,5.448,13.075,15.255,6.538,40.316,187.35
2021-01-15,1,2021,2,Centre,Chemlali,Irrigated,Medium,Traditionnel,59.94,84.4,15.01,28.04,16.89,41.0,1,1,12,1,15,1511.79,167.88,237.0,6379.6,1511.79,49953.0,49.953,0.352,0.2,532.149,9.991,542.14,2.5,6.0,3.5,3.0,1229.385,245.877,143.428,122.938,1741.628,2283.768
2021-01-15,1,2021,2,Centre,Zarazi,Rainfed,Small,Traditionnel,7.52,60.8,1.25,4.85,1.42,6.6,1,1,2,1,5,222.7,50.28,244.7,910.24,222.7,4985.0,4.985,0.352,0.2,78.391,0.997,79.388,2.5,6.0,3.5,3.0,32.821,39.385,22.974,19.692,114.872,194.261
2021-01-16,1,2021,2,Sfax,Oueslati,Irrigated,Large,Traditionnel,23.01,100.0,6.5,12.49,4.02,14.2,1,1,5,1,8,558.55,164.15,243.0,2298.65,558.55,18291.0,18.291,0.352,0.2,196.611,3.658,200.269,2.5,6.0,3.5,3.0,177.691,85.292,49.753,42.646,355.382,555.651
2021-01-16,1,2021,2,Sud,Chétoui,Rainfed,Medium,Super-presses,19.18,67.7,5.7,9.38,4.1,11.5,1,1,1,1,4,681.49,136.43,244.1,2791.8,681.49,11538.0,11.538,0.352,0.2,239.885,2.308,242.193,2.5,6.0,3.5,3.0,28.735,68.965,40.23,34.483,172.413,414.606
2021-01-16,1,2021,2,Sud,Gerboui,Irrigated,Small,Super-presses,27.09,72.5,6.67,12.92,7.51,13.7,1,1,3,1,6,1273.62,331.33,236.6,5382.38,1273.62,20216.0,20.216,0.352,0.2,448.315,4.043,452.358,2.5,6.0,3.5,3.0,102.592,82.074,47.876,41.037,273.579,725.938
2021-01-16,1,2021,2,Sud,Oueslati,Rainfed,Small,Méthode en continu,1.67,82.4,0.53,0.83,0.31,0.6,1,2,1,1,5,99.26,14.29,242.2,409.88,99.26,1306.0,1.306,0.352,0.2,34.939,0.261,35.2,2.5,6.0,3.5,3.0,1.592,3.82,4.457,1.91,11.778,46.979
2021-01-17,1,2021,2,Centre,Gerboui,Rainfed,Large,Méthode en continu,29.25,78.7,9.55,14.7,5.0,9.9,1,2,2,1,6,1396.05,346.56,245.2,5693.2,1396.05,29258.0,29.258,0.352,0.2,491.411,5.852,497.263,2.5,6.0,3.5,3.0,49.6,59.52,69.44,29.76,208.32,705.583
2021-01-17,1,2021,2,Nord,Zalmati,Rainfed,Medium,Méthode en continu,22.78,87.8,7.89,10.44,4.45,6.6,1,2,2,1,6,1070.71,126.09,236.7,4524.26,1070.71,33025.0,33.025,0.352,0.2,376.889,6.605,383.494,2.5,6.0,3.5,3.0,32.848,39.417,45.987,19.709,137.96,521.454
2021-01-17,1,2021,2,Centre,Chétoui,Irrigated,Medium,Super-presses,23.36,91.4,6.99,11.94,4.42,13.1,1,1,3,1,6,811.66,240.16,247.0,3286.29,811.66,16314.0,16.314,0.352,0.2,285.704,3.263,288.967,2.5,6.0,3.5,3.0,98.175,78.54,45.815,39.27,261.8,550.767
2021-01-17,1,2021,2,Centre,Barouni,Rainfed,Large,Traditionnel,40.54,80.6,9.59,19.61,11.35,28.0,1,1,10,1,13,1319.53,231.15,231.7,5695.65,1319.53,37983.0,37.983,0.352,0.2,464.474,7.597,472.071,2.5,6.0,3.5,3.0,699.8,167.952,97.972,83.976,1049.701,1521.771
2021-01-17,1,2021,2,Nord,Gerboui,Irrigated,Large,Méthode en continu,68.56,91.4,23.53,31.21,13.82,24.5,1,2,7,1,11,2761.21,321.18,234.6,11767.57,2761.21,92244.0,92.244,0.352,0.2,971.946,18.449,990.395,2.5,6.0,3.5,3.0,429.273,147.179,171.709,73.59,821.752,1812.146
2021-01-17,1,2021,2,Sud,Chemlali,Irrigated,Medium,Super-presses,22.69,72.4,6.13,13.21,3.35,12.4,1,1,3,1,6,943.54,137.29,227.5,4147.95,943.54,17143.0,17.143,0.352,0.2,332.126,3.429,335.555,2.5,6.0,3.5,3.0,92.84,74.272,43.325,37.136,247.573,583.127
2021-01-18,1,2021,3,Sfax,Chétoui,Irrigated,Medium,Super-presses,50.74,88.2,14.96,25.92,9.86,28.2,1,1,9,1,12,1684.1,338.92,245.1,6870.74,1684.1,36344.0,36.344,0.352,0.2,592.805,7.269,600.074,2.5,6.0,3.5,3.0,635.605,169.495,98.872,84.747,988.719,1588.793
2021-01-18,1,2021,3,Nord,Chétoui,Rainfed,Small,Méthode en continu,36.8,94.4,13.07,15.32,8.4,12.4,1,2,3,1,7,1890.75,350.95,245.0,7718.18,1890.75,53067.0,53.067,0.352,0.2,665.545,10.613,676.158,2.5,6.0,3.5,3.0,93.283,74.626,87.064,37.313,292.287,968.445
2021-01-18,1,2021,3,Sfax,Zalmati,Irrigated,Small,Méthode en continu,45.09,80.2,14.67,21.21,9.2,15.2,1,2,4,1,8,2625.29,410.51,230.4,11395.34,2625.29,55296.0,55.296,0.352,0.2,924.102,11.059,935.161,2.5,6.0,3.5,3.0,152.092,91.255,106.465,45.628,395.44,1330.602
2021-01-18,1,2021,3,Nord,Zalmati,Irrigated,Medium,Méthode en continu,59.44,100.0,21.44,29.19,8.81,20.3,1,2,6,1,10,2825.95,657.79,242.3,11663.89,2825.95,73571.0,73.571,0.352,0.2,994.736,14.714,1009.45,2.5,6.0,3.5,3.0,304.316,121.726,142.014,60.863,628.92,1638.37
2021-01-18,1,2021,3,Centre,Zarazi,Rainfed,Large,Super-presses,31.36,70.9,9.08,17.07,5.22,16.8,1,1,5,1,8,1220.08,347.89,244.6,4987.84,1220.08,24496.0,24.496,0.352,0.2,429.468,4.899,434.367,2.5,6.0,3.5,3.0,210.327,100.957,58.891,50.478,420.653,855.02
2021-01-19,1,2021,3,Sud,Zalmati,Irrigated,Small,Super-presses,10.88,67.8,2.99,6.24,1.65,6.3,1,1,1,1,4,500.37,125.55,243.8,2052.51,500.37,7476.0,7.476,0.352,0.2,176.129,1.495,177.624,2.5,6.0,3.5,3.0,15.665,37.596,21.931,18.798,93.991,271.615
2021-01-19,1,2021,3,Centre,Oueslati,Rainfed,Medium,Traditionnel,41.91,78.1,9.88,23.97,8.06,29.0,1,1,10,1,13,1213.54,299.22,239.4,5068.75,1213.54,32750.0,32.75,0.352,0.2,427.165,6.55,433.715,2.5,6.0,3.5,3.0,724.397,173.855,101.416,86.928,1086.595,1520.31
